Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
MIDHANI,1,1,0,67142,67.14,126.6500015258789,410.54998779296875
MINDACORP,2,2,0,146382,146.38,"20.160001754760742, 73.30000305175781","73.0, 247.89999389648438"
MINDTECK,1,0,1,-8805,-8.8,51.099998474121094,38.04999923706055
MIRCELECTR,7,2,5,103305,103.31,"18.604856491088867, 19.581722259521484, 12.388437271118164, 5.328360080718994, 10.649999618530273, 8.449999809265137, 18.549999237060547","13.94254207611084, 13.454109191894531, 8.969406127929688, 20.200000762939453, 3.950000047683716, 28.049999237060547, 11.75"
MIRZAINT,6,1,5,776,0.78,"28.450000762939453, 11.850000381469727, 96.5, 43.75, 277.04998779296875, 58.54999923706055","19.75, 8.850000381469727, 52.900001525878906, 145.10000610351562, 34.849998474121094, 42.79999923706055"
MITCON,2,1,1,78436,78.44,"60.5, 39.900001525878906","35.0, 153.5"
MITTAL,1,1,0,84280,84.28,1.1811059713363647,4.53980016708374
MKPL,1,1,0,149716,149.72,0.8916659951210022,5.087777137756348
MMFL,1,0,1,-8134,-8.13,233.47500610351562,167.25
MMP,1,1,0,61028,61.03,82.1500015258789,248.1999969482422
MMTC,3,0,3,-29124,-29.12,"594.8333129882812, 35.43333435058594, 41.900001525878906","425.6666564941406, 20.53333282470703, 30.850000381469727"
MODIRUBBER,3,1,2,101966,101.97,"46.0, 32.0, 77.5999984741211","32.599998474121094, 153.6999969482422, 56.150001525878906"
MODISONLTD,0,0,0,0,0.0,,
MOHITIND,2,0,2,-20383,-20.38,"44.95000076293945, 10.050000190734863","27.149999618530273, 7.449999809265137"
MOIL,3,1,2,67114,67.11,"131.3000030517578, 136.6999969482422, 143.0500030517578","93.9000015258789, 102.44999694824219, 503.45001220703125"
MOKSH,2,1,1,161711,161.71,"4.590000152587891, 22.75","29.700000762939453, 14.800000190734863"
MOL,0,0,0,0,0.0,,
MOLDTECH,1,0,1,-9425,-9.43,51.70000076293945,34.650001525878906
MOLDTKPAC,2,1,1,61616,61.62,"256.37969970703125, 199.4119415283203","171.69790649414062, 665.0"
MONARCH,0,0,0,0,0.0,,
MONTECARLO,3,1,2,48156,48.16,"423.95001220703125, 272.3500061035156, 165.14999389648438","304.54998779296875, 133.3000030517578, 552.0499877929688"
MORARJEE,4,0,4,-39666,-39.67,"13.25, 44.70000076293945, 25.0, 12.899999618530273","9.550000190734863, 29.75, 14.25, 8.949999809265137"
MOREPENLAB,5,1,4,43835,43.84,"5.800000190734863, 3.5999999046325684, 20.200000762939453, 18.299999237060547, 48.599998474121094","3.950000047683716, 2.549999952316284, 14.75, 65.4000015258789, 36.04999923706055"
MOTHERSON,4,2,2,108546,108.55,"4.441627025604248, 8.815793991088867, 52.69440841674805, 39.05633544921875","3.265109062194824, 28.141326904296875, 25.019826889038086, 119.66666412353516"
MOTILALOFS,1,0,1,-2566,-2.57,647.6500244140625,2376.89990234375
MOTISONS,0,0,0,0,0.0,,
MOTOGENFIN,1,1,0,62916,62.92,12.75,39.45000076293945
MPHASIS,3,1,2,38674,38.67,"242.8000030517578, 1041.199951171875, 860.9500122070312","160.60000610351562, 664.4500122070312, 2599.75"
MPSLTD,3,1,2,44636,44.64,"55.5, 38.45000076293945, 476.79998779296875","38.79999923706055, 122.4000015258789, 319.1499938964844"
MRF,1,1,0,60255,60.26,2210.0,6784.35009765625
MRO-TEK,4,2,2,399283,399.28,"23.299999237060547, 5.0, 24.5, 25.350000381469727","17.299999237060547, 64.19999694824219, 17.850000381469727, 79.1500015258789"
