Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Buy Prices,Sell Prices
PILANIINVS,2,1,1,60031,"1072, 814","796, 2649"
PILITA,6,1,5,4521,"3, 2, 1, 8, 6, 9","2, 1, 3, 6, 3, 6"
PIONEEREMB,7,1,6,13215,"165, 12, 9, 6, 48, 27, 48","105, 9, 7, 20, 36, 20, 34"
PITTIENG,5,4,1,246103,"13, 19, 35, 43, 31","41, 56, 106, 21, 101"
PIXTRANS,0,0,0,0,,
PKTEA,3,0,3,-34357,"300, 171, 125","189, 123, 68"
PLASTIBLEN,3,1,2,38900,"43, 35, 198","26, 105, 112"
PLAZACABLE,0,0,0,0,,
PNB,5,1,4,32460,"225, 168, 106, 88, 35","156, 114, 76, 60, 114"
PNBGILTS,2,2,0,134328,"16, 32","53, 97"
PNBHOUSING,1,1,0,69175,172,566
PNC,3,0,3,-29250,"54, 18, 10","37, 12, 7"
PNCINFRA,2,1,1,53662,"167, 143","94, 458"
POCL,1,0,1,-9081,31,22
PODDARHOUS,2,0,2,-19866,"205, 178","147, 102"
PODDARMENT,0,0,0,0,,
POKARNA,3,1,2,45558,"227, 85, 539","154, 263, 384"
POLICYBZR,0,0,0,0,,
POLYCAB,1,1,0,60652,789,2389
POLYMED,2,0,2,-19270,"199, 242","127, 175"
POLYPLEX,2,1,1,58054,"132, 577","420, 431"
PONNIERODE,3,1,2,48273,"39, 98, 170","23, 305, 121"
POONAWALLA,2,1,1,97934,"66, 27","44, 118"
POWERGRID,1,1,0,60755,47,142
POWERINDIA,0,0,0,0,,
POWERMECH,3,1,2,39637,"920, 738, 454","677, 324, 1410"
PPAP,5,2,3,101677,"35, 46, 34, 192, 212","105, 33, 108, 142, 157"
PPL,1,1,0,70345,54,183
PPLPHARMA,0,0,0,0,,
PRAENG,3,0,3,-29647,"17, 8, 7","12, 5, 5"
PRAJIND,3,1,2,39261,"64, 113, 63","46, 55, 195"
PRAKASH,4,3,1,184146,"55, 42, 26, 35","174, 29, 78, 115"
PRAKASHSTL,5,1,4,97983,"15, 15, 0, 1, 6","10, 9, 0, 5, 4"
PRAXIS,2,1,1,66704,"37, 15","20, 57"
PRECAM,3,0,3,-29415,"147, 43, 131","110, 25, 94"
PRECOT,3,1,2,53848,"59, 49, 24","37, 33, 85"
PRECWIRE,3,2,1,126223,"2, 22, 13","6, 9, 48"
PREMEXPLN,3,1,2,41977,"365, 175, 104","253, 115, 313"
PREMIERPOL,1,1,0,76356,11,36
PRESTIGE,3,2,1,116974,"147, 105, 210","98, 331, 644"
PRICOLLTD,3,2,1,113106,"7, 17, 33","22, 13, 99"
PRIMESECU,4,2,2,145008,"17, 16, 3, 46","11, 12, 13, 142"
PRINCEPIPE,1,1,0,81304,109,402
PRITI,1,1,0,65690,25,75
PRITIKAUTO,0,0,0,0,,
PRIVISCL,1,1,0,63969,160,497
PROZONER,1,0,1,-10545,21,14
PRSMJOHNSN,3,2,1,114965,"18, 96, 47","57, 68, 140"
PRUDENT,0,0,0,0,,
PRUDMOULI,0,0,0,0,,
PSB,2,1,1,61086,"33, 14","23, 46"
PSPPROJECT,0,0,0,0,,
PTC,3,1,2,52786,"60, 65, 48","45, 39, 164"
PTCIL,0,0,0,0,,
PTL,2,1,1,66358,"4, 23","15, 17"
PUNJABCHEM,5,2,3,114163,"144, 96, 37, 157, 1326","104, 71, 128, 482, 961"
PURVA,2,0,2,-21676,"70, 64","51, 35"
PVP,4,2,2,157381,"13, 16, 6, 5","52, 10, 4, 20"
PVRINOX,0,0,0,0,,
PYRAMID,0,0,0,0,,
QUESS,2,0,2,-30048,"747, 519","439, 213"
QUICKHEAL,3,1,2,47985,"226, 208, 159","168, 146, 504"
RACE,0,0,0,0,,
RADAAN,2,1,1,72286,"1, 2","3, 1"
RADHIKAJWE,0,0,0,0,,
RADIANTCMS,0,0,0,0,,
RADICO,2,1,1,52681,"71, 415","219, 298"
RADIOCITY,1,0,1,-9818,17,11
RAILTEL,1,1,0,64639,108,338
RAIN,4,1,3,26529,"39, 16, 44, 96","23, 49, 30, 56"
RAINBOW,0,0,0,0,,
RAJESHEXPO,3,2,1,129480,"27, 100, 498","89, 327, 353"
RAJMET,0,0,0,0,,
RAJRATAN,1,0,1,-8352,770,525
RAJRILTD,3,1,2,62687,"67, 55, 9","45, 40, 34"
RAJSREESUG,4,1,3,51097,"61, 38, 27, 16","41, 25, 19, 60"
RAJTV,3,1,2,58949,"54, 11, 53","34, 38, 38"
RALLIS,2,1,1,61220,"26, 209","85, 151"
RAMANEWS,4,0,4,-36846,"32, 16, 25, 17","23, 12, 16, 12"
RAMAPHO,0,0,0,0,,
RAMASTEEL,3,0,3,-32028,"1, 1, 0","1, 0, 0"
RAMCOCEM,2,2,0,136134,"71, 178","246, 554"
RAMCOIND,5,2,3,97356,"44, 38, 23, 44, 38","32, 21, 70, 32, 117"
RAMCOSYS,4,2,2,147991,"51, 432, 110, 473","182, 320, 424, 301"
RAMKY,3,1,2,43162,"45, 156, 195","33, 98, 601"
RAMRAT,0,0,0,0,,
RANASUG,6,2,4,217582,"19, 10, 2, 4, 3, 27","14, 7, 16, 3, 10, 19"
RANEENGINE,4,2,2,124840,"54, 111, 344, 280","186, 365, 235, 205"
RANEHOLDIN,3,3,0,209751,"57, 177, 429","214, 566, 1295"
RATEGAIN,0,0,0,0,,
RATNAMANI,2,2,0,143312,"32, 325","100, 1126"
RATNAVEER,0,0,0,0,,
RAYMOND,5,3,2,206222,"108, 87, 228, 810, 278","78, 362, 744, 570, 855"
RBA,1,0,1,-8671,146,105
RBL,1,1,0,77478,323,1166
RBLBANK,3,0,3,-38514,"531, 374, 174","327, 136, 127"
RBZJEWEL,0,0,0,0,,
RCF,2,0,2,-19785,"66, 45","47, 28"
RECLTD,2,1,1,51769,"86, 67","58, 203"
REDINGTON,1,1,0,63757,13,42
REDTAPE,0,0,0,0,,
REFEX,3,2,1,155349,"1, 1, 2","0, 3, 6"
REGENCERAM,6,2,4,174124,"20, 7, 4, 3, 8, 1","14, 5, 3, 9, 6, 6"
RELAXO,2,2,0,132125,"32, 244","109, 737"
RELCHEMQ,0,0,0,0,,
RELIANCE,2,1,1,58520,"598, 340","446, 1084"
RELIGARE,3,1,2,42639,"60, 29, 41","43, 19, 126"
RELINFRA,2,1,1,77540,"434, 22","300, 88"
REMSONSIND,3,1,2,48641,"25, 19, 12","18, 14, 36"
RENUKA,7,2,5,80406,"37, 68, 38, 19, 11, 8, 11","112, 30, 26, 13, 8, 5, 39"
REPCOHOME,2,1,1,67476,"639, 146","430, 520"
REPL,3,1,2,63297,"42, 30, 180","25, 114, 135"
REPRO,4,2,2,108198,"69, 192, 161, 454","220, 125, 499, 327"
RESPONIND,2,0,2,-27086,"97, 83","70, 44"
RGL,1,1,0,66375,45,143
RHFL,1,0,1,-8124,2,2
RHIM,3,2,1,136003,"84, 239, 175","276, 179, 613"
RHL,0,0,0,0,,
RICOAUTO,2,1,1,50400,"39, 32","20, 102"
RIIL,6,0,6,-55323,"1548, 724, 436, 387, 386, 326","806, 536, 311, 290, 272, 238"
RISHABH,0,0,0,0,,
RITCO,0,0,0,0,,
RITES,1,1,0,78434,208,743
RKDL,2,0,2,-16829,"16, 9","11, 6"
RKEC,1,0,1,-9555,100,69
RKFORGE,6,3,3,184120,"7, 22, 81, 77, 47, 178","26, 17, 57, 31, 166, 563"
RML,3,2,1,132757,"34, 130, 504","116, 399, 345"
ROHLTD,4,1,3,38209,"159, 48, 89, 53","114, 33, 61, 169"
ROLEXRINGS,0,0,0,0,,
ROLLT,2,0,2,-21222,"7, 1","5, 1"
ROML,4,0,4,-38409,"260, 250, 35, 28","195, 149, 21, 21"
ROSSARI,1,0,1,-7338,985,727
ROSSELLIND,2,1,1,58936,"86, 61","62, 196"
ROTO,0,0,0,0,,
ROUTE,0,0,0,0,,
RPGLIFE,5,2,3,104398,"67, 60, 363, 248, 205","48, 186, 239, 166, 686"
RPOWER,5,1,4,53912,"96, 71, 50, 38, 2","71, 53, 36, 26, 9"
RPPINFRA,1,1,0,78030,41,146
RPPL,3,1,2,70889,"36, 32, 22","26, 17, 88"
RPSGVENT,3,1,2,36976,"341, 179, 543","118, 563, 400"
RRKABEL,0,0,0,0,,
RSSOFTWARE,4,1,3,44141,"14, 5, 144, 82","9, 17, 65, 61"
RSWM,3,2,1,125738,"52, 160, 51","168, 108, 167"
RSYSTEMS,3,0,3,-28248,"13, 71, 45","9, 52, 27"
RTNINDIA,3,1,2,93679,"3, 3, 4","2, 2, 17"
RTNPOWER,5,1,4,104235,"11, 8, 4, 2, 7","8, 6, 3, 8, 5"
RUBYMILLS,2,1,1,69751,"98, 80","59, 299"
RUCHINFRA,4,1,3,79058,"31, 15, 14, 3","22, 71, 10, 2"
RUCHIRA,6,2,4,133512,"16, 5, 15, 122, 97, 54","10, 19, 54, 85, 71, 40"
RUPA,1,0,1,-11076,286,187
