Buy Date,Buy Price,Ticker,Fast Period,Slow Period
2023-11-01,103.75,BANKINDIA,25,30
2010-05-01,53.45000076293945,BANSWRAS,25,30
2015-04-01,35.099998474121094,BANSWRAS,25,30
2020-11-01,40.849998474121094,BANSWRAS,25,30
2008-06-01,263.70001220703125,BASF,25,30
2010-03-01,354.0,BASF,25,30
2013-03-01,578.7999877929688,BASF,25,30
2014-01-01,587.9500122070312,BASF,25,30
2017-08-01,1512.9000244140625,BASF,25,30
2021-06-01,2599.300048828125,BASF,25,30
2024-06-01,4987.4501953125,BASF,25,30
2008-08-01,23.190168380737305,BASML,25,30
2010-09-01,44.7066535949707,BASML,25,30
2013-10-01,33.795528411865234,BASML,25,30
2021-12-01,80.55000305175781,BASML,25,30
2010-07-01,143.02499389648438,BATAINDIA,25,30
2017-11-01,734.25,BATAINDIA,25,30
2022-05-01,1877.300048828125,BATAINDIA,25,30
2013-03-01,1205.25,BAYERCROP,25,30
2020-11-01,5046.7998046875,BAYERCROP,25,30
2024-03-01,5254.35009765625,BAYERCROP,25,30
2011-01-01,499.6499938964844,BBL,25,30
2015-05-01,290.6000061035156,BBL,25,30
2019-12-01,408.32501220703125,BBL,25,30
2021-11-01,843.375,BBL,25,30
2010-09-01,23.209999084472656,BBOX,25,30
2013-03-01,23.459999084472656,BBOX,25,30
2015-10-01,19.540000915527344,BBOX,25,30
2018-02-01,24.0,BBOX,25,30
2020-02-01,84.43000030517578,BBOX,25,30
2024-03-01,225.10000610351562,BBOX,25,30
2010-11-01,83.2699966430664,BBTC,25,30
2013-02-01,105.0999984741211,BBTC,25,30
2021-08-01,1189.300048828125,BBTC,25,30
2024-03-01,1567.75,BBTC,25,30
2021-08-01,90.5,BBTCL,25,30
2020-08-01,4.24799919128418,BCG,25,30
2022-03-01,69.75,BCONCEPTS,25,30
2021-01-01,165.5,BDL,25,30
2014-12-01,16.850000381469727,BEDMUTHA,25,30
2015-02-01,16.649999618530273,BEDMUTHA,25,30
2017-03-01,28.25,BEDMUTHA,25,30
2021-06-01,35.0,BEDMUTHA,25,30
2010-06-01,17.549999237060547,BEL,25,30
2014-09-01,20.102020263671875,BEL,25,30
2021-01-01,43.349998474121094,BEL,25,30
2008-10-01,356.2474365234375,BEML,25,30
2010-10-01,946.32958984375,BEML,25,30
2014-11-01,598.2093505859375,BEML,25,30
2018-01-01,1225.05322265625,BEML,25,30
2020-11-01,609.8316040039062,BEML,25,30
2021-09-01,1207.282958984375,BEML,25,30
2010-08-01,24.03333282470703,BEPL,25,30
2015-01-01,11.5,BEPL,25,30
2016-01-01,13.466666221618652,BEPL,25,30
2021-04-01,105.9000015258789,BEPL,25,30
2024-06-01,106.9800033569336,BEPL,25,30
2009-05-01,12.678570747375488,BERGEPAINT,25,30
2010-06-01,22.72321319580078,BERGEPAINT,25,30
2014-07-01,82.55000305175781,BFINVEST,25,30
2017-09-01,225.64999389648438,BFINVEST,25,30
2020-11-01,274.75,BFINVEST,25,30
2022-04-01,302.75,BFINVEST,25,30
2023-12-01,534.5,BFINVEST,25,30
2011-02-01,692.8499755859375,BFUTILITIE,25,30
2014-10-01,668.0,BFUTILITIE,25,30
2021-02-01,273.45001220703125,BFUTILITIE,25,30
2024-01-01,604.4000244140625,BFUTILITIE,25,30
2015-10-01,109.55000305175781,BGRENERGY,25,30
2017-07-01,150.25,BGRENERGY,25,30
2021-11-01,56.849998474121094,BGRENERGY,25,30
2021-06-01,259.20001220703125,BHAGERIA,25,30
2010-11-01,22.149999618530273,BHAGYANGR,25,30
2015-01-01,17.649999618530273,BHAGYANGR,25,30
2021-08-01,48.54999923706055,BHAGYANGR,25,30
2023-10-01,65.6500015258789,BHAGYANGR,25,30
2003-01-01,23.14699935913086,BHARATFORG,25,30
2010-11-01,186.8000030517578,BHARATFORG,25,30
2014-01-01,173.39999389648438,BHARATFORG,25,30
2014-07-01,361.875,BHARATFORG,25,30
2017-12-01,731.5,BHARATFORG,25,30
2021-07-01,771.6500244140625,BHARATFORG,25,30
2007-08-01,57.0,BHARATRAS,25,30
2007-11-01,58.5,BHARATRAS,25,30
2010-07-01,90.1500015258789,BHARATRAS,25,30
2021-01-01,9990.0498046875,BHARATRAS,25,30
2021-10-01,57.75,BHARATWIRE,25,30
2011-03-01,322.1093444824219,BHARTIARTL,25,30
