ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2015-01-01,88.0,2015-09-01,32.0,-18190.0,-20908.045977011494
,2017-11-01,38.5,2018-07-01,36.0,-1947.5,-5058.441558441559
,2021-03-01,74.5,2023-02-01,32.04999923706055,-18492.0,-23707.692307692305
,2018-05-01,47.5,2018-09-01,34.0,-8518.5,-17933.684210526313
,2021-04-01,79.5,2023-03-01,27.450000762939453,-19886.75,-24858.4375
,2010-10-01,672.0,2011-06-01,463.0,-9460.0,-1401.4814814814815
,2015-01-01,88.0,2016-01-01,46.5,-13430.0,-15436.781609195401
,2017-07-01,41.5,2018-07-01,36.0,-3971.0,-9568.674698795181
,2021-04-01,79.5,2023-02-01,32.04999923706055,-18096.0,-22620.0
,2011-03-01,438.5,2011-08-01,271.0,-11322.0,-2587.885714285714
,2015-03-01,58.0,2016-01-01,46.5,-5945.5,-10077.118644067796
,2017-12-01,80.0,2018-08-01,36.0,-18000.0,-21428.571428571428
,2021-04-01,79.5,2023-03-01,27.450000762939453,-19886.75,-24858.4375
,2015-07-01,38.0,2015-11-01,40.0,0.0,0.0
,2018-02-01,58.5,2018-10-01,33.5,-12544.0,-21261.01694915254
,2021-05-01,87.5,2023-05-01,31.100000381469727,-19408.5,-22055.113636363636
,2010-02-01,2041.199951171875,2013-05-01,3592.300048828125,22523.20068359375,1103.4294151664533
,2014-07-01,4903.35009765625,2020-04-01,19400.19921875,86827.1953125,1761.5580302799756
,2021-04-01,25537.94921875,2022-09-01,24606.30078125,-600.0,-2.3529411764705883
,2010-02-01,2041.199951171875,2013-06-01,3475.0,20283.20068359375,993.6900435427184
,2014-07-01,4903.35009765625,2020-08-01,20264.44921875,92226.0,1871.089470480828
,2021-04-01,25537.94921875,2022-10-01,23288.30078125,-2211.19921875,-8.671369485294116
,2010-02-01,2041.199951171875,2013-08-01,2984.300048828125,14777.70068359375,723.9712442237573
,2014-07-01,4903.35009765625,2020-09-01,18307.150390625,81126.0,1645.891661594644
,2010-04-01,2312.800048828125,2013-01-01,3961.449951171875,20148.6005859375,853.7723681780774
,2014-08-01,5909.9501953125,2020-06-01,18795.25,65143.24951171875,1102.0029001081655
,2021-07-01,24660.900390625,2023-01-01,23329.05078125,-1544.94921875,-6.211100823148669
,2010-05-01,2540.64990234375,2013-05-01,3592.300048828125,12202.85107421875,480.3043135916372
,2014-08-01,5909.9501953125,2020-09-01,18307.150390625,62693.24951171875,1060.5572073387357
,2021-07-01,24660.900390625,2023-03-01,22963.849609375,-1684.05078125,-6.770325565851894
,2010-05-01,2540.64990234375,2013-09-01,3040.449951171875,6017.0,236.82916699578783
,2014-09-01,6297.14990234375,2020-12-01,20830.55078125,57922.796875,912.1700295275591
,2021-06-01,24331.55078125,2023-04-01,22548.19921875,-1811.80078125,-7.437605834359607
,2010-07-01,3487.699951171875,2013-04-01,3531.35009765625,290.80078125,8.32048015021459
,2014-10-01,6199.7998046875,2020-07-01,21078.0,60547.0,967.2044728434505
,2021-10-01,25400.69921875,2023-03-01,22963.849609375,-2332.05078125,-9.137413922302327
,2010-07-01,3487.699951171875,2013-05-01,3592.300048828125,1240.0,35.47925608011445
,2014-09-01,6297.14990234375,2020-10-01,18675.349609375,49301.203125,776.3968996062993
,2021-08-01,24391.44921875,2021-09-01,24832.5,408.55078125,1.6749754292415806
,2021-10-01,25400.69921875,2023-06-01,27012.69921875,1776.94921875,6.962421513792022
