ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent,Ticker,Fast Period,Slow Period
,2016-07-01,80.94999694824219,2020-05-01,28.700000762939453,-19221.500282287598,-23730.247262083456,MRPL,30,100
,2017-07-01,124.25,2021-08-01,42.95000076293945,-19521.00091934204,-15704.746934892355,MRPL,50,100
,2016-08-01,55.75,2020-03-01,13.300000190734863,-22111.800205230713,-40203.27310041948,MUKANDLTD,22,100
,2017-08-01,88.94999694824219,2020-01-01,29.850000381469727,-20843.450771331787,-22993.32644289186,MUKANDLTD,22,150
,2016-09-01,59.099998474121094,2020-08-01,27.75,-16629.599613189697,-27808.69536012242,MUKANDLTD,30,100
,2017-11-01,89.4000015258789,2020-06-01,22.5,-22813.50012779236,-25489.94427686297,MUKANDLTD,30,150
,2022-02-01,106.6500015258789,2022-06-01,100.05000305175781,-1910.8008575439453,-1791.655724524565,MUNJALSHOW,22,150
,2016-05-01,21.299999237060547,2019-12-01,15.899999618530273,-8448.001342773438,-38487.47630586468,MURUDCERA,22,100
,2018-01-01,47.599998474121094,2019-09-01,16.100000381469727,-18962.99903869629,-39838.234551637615,MURUDCERA,22,150
,2016-07-01,26.649999618530273,2020-06-01,16.75,-11193.750858306885,-41458.336512247726,MURUDCERA,30,100
,2018-05-01,39.0,2020-05-01,11.899999618530273,-20186.25073337555,-52160.853579896175,MURUDCERA,30,150
,2016-12-01,28.5,2021-11-01,24.350000381469727,-6101.601203918457,-20271.100088340023,MURUDCERA,50,100
,2019-04-01,19.200000762939453,2022-02-01,25.049999237060547,9137.697616577148,47592.173195196265,MURUDCERA,50,150
,2015-08-01,50.70000076293945,2019-08-01,24.200000762939453,-16311.599098205566,-31489.5740124555,NAHARINDUS,22,100
,2015-12-01,59.5,2020-01-01,26.700000762939453,-16959.598846435547,-27986.137414967186,NAHARINDUS,30,100
,2016-07-01,114.25,2021-02-01,46.45000076293945,-17370.599800109863,-15372.212212486605,NAHARINDUS,50,100
,2014-04-01,101.69999694824219,2019-06-01,70.5,-8452.5,-8311.209688926245,NAHARSPING,22,100
,2014-07-01,140.9499969482422,2019-10-01,51.75,-18147.199676513672,-13079.062829919763,NAHARSPING,30,100
,2014-01-01,105.5999984741211,2020-06-01,35.099998474121094,-20320.20086669922,-19008.6067134246,NAHARSPING,50,100
,2017-12-01,86.0,2020-04-01,31.799999237060547,-18739.80079650879,-21879.51017239225,NATIONALUM,22,100
,2018-01-01,75.30000305175781,2019-08-01,41.650001525878906,-13591.700607299805,-17931.002717795553,NATIONALUM,22,150
,2018-04-01,80.55000305175781,2020-09-01,32.25,-17856.001419067383,-22167.598687232723,NATIONALUM,30,100
,2018-09-01,60.599998474121094,2019-10-01,45.400001525878906,-7598.249244689941,-12507.40616409867,NATIONALUM,30,150
,2017-10-01,141.10000610351562,2020-02-01,64.8499984741211,-15741.00161743164,-11038.570086739684,NAVA,22,100
,2018-02-01,156.3000030517578,2020-06-01,51.099998474121094,-19959.498542785645,-12802.757744838977,NAVA,30,100
,2018-07-01,132.9499969482422,2021-08-01,108.8499984741211,-5433.750343322754,-4085.5265739268825,NAVA,50,100
,2017-12-01,146.5500030517578,2020-03-01,34.20000076293945,-23133.60108947754,-15673.170821722973,NAVA,50,150
,2015-12-01,75.80000305175781,2020-07-01,29.0,-18643.998794555664,-24467.190998996164,NCC,22,100
,2022-11-01,82.75,2022-12-01,83.9000015258789,162.9016571044922,194.8584450691341,NCC,22,200
