Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
CONCOR,2,2,0,299676.84579467773
CONFIPET,1,0,0,0.0
CONSOFINVT,1,1,0,99960.75
CONTROLPR,1,0,0,0.0
CORALFINAC,1,1,0,99983.60443496704
CORDSCABLE,2,2,0,299941.40559387207
COROMANDEL,3,2,0,299652.1949157715
COSMOFIRST,2,2,0,299756.8366546631
COUNCODOS,3,2,0,299998.69802105427
CRAFTSMAN,0,0,0,0.0
CREATIVE,1,1,0,99930.5
CREATIVEYE,2,2,0,299998.1062602997
CREDITACC,1,1,0,99749.75
CREST,2,2,0,308102.5879230499
CRISIL,2,1,0,100313.19873046875
CROMPTON,1,1,0,99885.90133666992
CROWN,1,1,0,99993.603515625
CSBBANK,1,0,0,0.0
CTE,2,2,0,311568.7664985657
CUB,3,2,0,300096.05701446533
CUBEXTUB,1,1,0,102030.0
CUMMINSIND,2,1,0,99924.30145263672
CUPID,2,2,0,2415692.7468128204
CYBERMEDIA,2,1,1,-55615.342018890384
CYBERTECH,2,2,0,299963.79730415344
CYIENT,2,2,0,299779.9952697754
DABUR,1,0,0,0.0
DALBHARAT,2,1,0,99541.70275878906
DALMIASUG,2,2,0,303689.60400390625
DAMODARIND,1,1,0,100959.5913696289
DANGEE,1,1,0,99999.90302753448
DATAMATICS,2,1,1,-59826.17223815917
DATAPATTNS,0,0,0,0.0
DBCORP,1,0,1,-79871.47868652343
DBL,1,0,0,0.0
DBREALTY,4,2,1,-19425.271264648443
DBSTOCKBRO,2,1,1,-59440.36875610352
DCAL,4,3,1,60064.18389892578
DCBBANK,3,2,0,301672.7694091797
DCI,1,1,0,99984.2963104248
DCM,1,1,0,100057.01647949219
DCMFINSERV,2,1,1,-52856.36290817261
DCMNVL,1,0,0,0.0
DCMSHRIRAM,2,2,0,299809.1049194336
DCMSRIND,1,0,0,0.0
DCW,3,2,0,299996.5028953552
DECCANCE,2,2,0,299546.994140625
DEEPAKFERT,2,1,1,-59884.53176879883
DEEPAKNTR,3,2,0,300276.6908569336
DEEPENR,2,2,0,299936.16316223145
DEEPINDS,0,0,0,0.0
DELHIVERY,0,0,0,0.0
DELPHIFX,2,1,0,104722.1935043335
DELTACORP,4,3,0,699813.1957397461
DELTAMAGNT,2,2,0,318951.89884757996
DEN,3,1,1,-59734.73393554689
DENORA,3,3,0,705420.2245483398
DEVIT,1,1,0,99997.0
DEVYANI,0,0,0,0.0
DGCONTENT,1,1,0,104273.39836978912
DHAMPURSUG,3,3,0,701751.9541015625
DHANBANK,3,0,2,-95820.07880096436
DHANI,4,3,0,702473.2967710495
DHANUKA,0,0,0,0.0
DHRUV,0,0,0,0.0
DHUNINV,2,1,0,101421.95156478882
DIACABS,4,1,3,-96207.1765625
DIAMONDYD,1,0,0,0.0
DICIND,2,1,0,99781.0
DIGISPICE,1,0,1,-78593.74761581421
DIGJAMLMTD,2,1,1,-58897.2
DIL,2,2,0,299991.51859021187
DISHTV,3,2,1,-13553.700520133978
DIVISLAB,2,1,0,100148.99536132812
DIXON,1,1,0,99816.19812011719
DLF,1,0,0,0.0
DLINKINDIA,2,2,0,299945.79710388184
DMART,1,1,0,99997.5
DMCC,0,0,0,0.0
DNAMEDIA,2,1,1,-58668.55118185282
DODLA,0,0,0,0.0
DOLATALGO,1,1,0,99963.8984451294
DOLLAR,2,1,0,101554.59823608398
DOLPHIN,1,0,1,-79709.28095703125
DONEAR,3,3,0,699920.2828159332
DPABHUSHAN,1,1,0,99958.0
DPSCLTD,2,2,0,310394.5455350876
DPWIRES,1,1,0,99960.0
DRCSYSTEMS,0,0,0,0.0
DREDGECORP,2,1,0,99819.3938293457
DRREDDY,2,1,0,100436.5
DSSL,3,2,1,13312.202672910687
DTIL,0,0,0,0.0
DUCON,1,1,0,99996.70375823975
DVL,2,1,0,99887.60266113281
DWARKESH,2,2,0,299976.4468860626
DYNAMATECH,3,2,1,-15683.585864257795
DYNPRO,1,0,0,0.0
E2E,1,1,0,99978.0
EASEMYTRIP,0,0,0,0.0
ECLERX,1,1,0,99843.89666748047
EDELWEISS,4,2,1,-19928.75883102417
EDUCOMP,4,1,3,-98333.37621459963
EICHERMOT,1,1,0,99290.6982421875
EIDPARRY,1,1,0,99942.70294189453
EIFFL,1,0,0,0.0
EIHAHOTELS,1,0,0,0.0
EIHOTEL,2,1,0,100739.13946151733
EIMCOELECO,3,2,0,311474.1072998047
EKC,3,2,1,-18748.302402496338
ELDEHSG,0,0,0,0.0
ELECON,1,1,0,99960.0
ELECTCAST,1,0,0,0.0
ELECTHERM,4,2,1,-17652.328696441662
ELGIEQUIP,2,2,0,302586.25424194336
ELGIRUBCO,3,2,0,299972.74176216125
EMAMILTD,3,2,0,303531.7059555054
