Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss
ORISSAMINE,3,1,2,281677.1246826174
ORTINLAB,2,0,2,-331928.0206443786
OSIAHYPER,3,1,2,280001.7228826523
OSWALAGRO,1,0,1,-199999.9499999999
OSWALGREEN,2,0,2,-358840.6485824585
OSWALSEEDS,2,1,1,639283.1236543655
PAGEIND,3,1,2,279864.24023437523
PAISALO,6,2,4,763607.6900333406
PALASHSECU,1,1,0,1037763.2951126099
PALREDTEC,4,1,2,341523.0062713623
PANACEABIO,6,2,3,1015177.9871398928
PANACHE,2,0,2,-350516.0
PANAMAPET,4,2,2,1575912.332523346
PANSARI,2,1,1,600007.4584350586
PAR,0,0,0,0.0
PARACABLES,2,0,2,-359997.88676805486
PARADEEP,0,0,0,0.0
PARAGMILK,2,0,2,-359969.0621246337
PARAS,1,0,1,-192059.53271484375
PARASPETRO,1,0,1,-144444.47768371098
PARSVNATH,5,1,4,-179509.5396174906
PASUPTAC,0,0,0,0.0
PATANJALI,2,0,2,-352424.0
PATELENG,6,0,6,-775609.3921949386
PATINTLOG,7,1,6,-522656.1182622907
PAVNAIND,0,0,0,0.0
PAYTM,1,0,1,-195730.88166503896
PCBL,1,0,1,-199533.58561859129
PCJEWELLER,3,2,1,2279082.5455799103
PDMJEPAPER,2,0,2,-359995.36335716245
PDSL,1,1,0,999972.9774284363
PEARLPOLY,5,2,3,867799.4260880472
PEL,3,1,2,280394.02336425794
PENIND,1,0,1,-199999.79596328732
PENINLAND,5,2,3,954906.7146457671
PERSISTENT,4,1,2,279886.41218261735
PETRONET,1,0,0,0.0
PFC,4,1,2,306288.56825866713
PFIZER,2,2,0,3014720.02734375
PFOCUS,3,1,2,-56381.35590972891
PFS,6,2,4,551714.6741645815
PGEL,7,2,5,147127.7928802492
PGHH,3,2,0,2995124.652709961
PGHL,1,1,0,999656.7807617188
PGIL,3,0,3,-492169.7886657715
PHOENIXLTD,2,1,1,614659.2809570313
PIDILITIND,1,1,0,999474.0
PIGL,3,1,2,280008.7246381762
PIIND,1,0,0,0.0
PILANIINVS,4,1,2,279999.1945312502
PILITA,5,1,3,190750.02747223392
PIONEEREMB,5,1,4,-157582.8210771558
PITTIENG,4,3,1,5653172.863711548
PIXTRANS,0,0,0,0.0
PKTEA,3,0,3,-487964.7543029785
PLASTIBLEN,1,0,1,-199997.0
PNB,6,1,4,-302992.1175247191
PNBGILTS,1,0,1,-199996.40241432184
PNBHOUSING,1,1,0,999949.7203674316
PNC,1,1,0,999994.8808307648
PNCINFRA,3,1,2,283853.419683838
POCL,1,0,1,-199998.24489059445
PODDARHOUS,2,0,1,-163025.37020874023
PODDARMENT,0,0,0,0.0
POKARNA,3,1,2,279993.3983001711
POLICYBZR,0,0,0,0.0
POLYCAB,0,0,0,0.0
POLYMED,2,0,2,-352341.17448730464
POLYPLEX,4,2,2,1560832.5303710937
PONNIERODE,3,0,2,-450509.54486083984
POONAWALLA,6,2,4,698774.9375740053
POWERGRID,1,0,1,-199983.7663452148
POWERINDIA,0,0,0,0.0
POWERMECH,3,0,3,-476951.555102539
PPAP,4,1,2,328208.42698364274
PPL,1,1,0,1007305.2279968262
PRAENG,2,0,2,-324779.0093729973
PRAJIND,2,1,1,613274.5924415588
PRAKASH,4,1,2,279980.06601905834
PRAKASHSTL,5,1,4,-160317.39593487972
PRAXIS,2,1,1,588925.3704586029
PRECAM,3,0,3,-489335.07849655143
PRECOT,3,1,2,279999.16023635876
PRECWIRE,2,1,1,572430.404460907
PREMEXPLN,3,1,2,311615.859262085
PREMIERPOL,1,1,0,999999.0
PRESTIGE,3,2,1,2199907.389105225
PRICOLLTD,3,0,3,-479721.3431240081
PRIMESECU,4,3,1,5648722.040248871
PRINCEPIPE,1,1,0,999896.0859832764
PRITI,3,1,2,276752.8052619935
PRITIKAUTO,0,0,0,0.0
PRIVISCL,2,1,0,999873.3627319336
PROZONER,1,0,1,-199996.04275131228
PRSMJOHNSN,2,1,1,600023.2636978149
PRUDENT,0,0,0,0.0
PSB,3,1,2,272166.4092121124
PSPPROJECT,1,0,0,0.0
PTC,7,2,5,323007.87603302015
PTL,2,1,1,599996.5156707764
PUNJABCHEM,6,2,4,648439.803453064
PURVA,2,0,2,-350989.1970794677
PVP,3,1,2,294034.0147665025
QUESS,5,1,4,-124856.16328124996
QUICKHEAL,2,0,2,-359951.38776245096
RADAAN,3,2,1,2199999.753623915
RADHIKAJWE,0,0,0,0.0
RADICO,4,0,3,-484250.05239257804
RADIOCITY,1,0,0,0.0
RAILTEL,1,0,0,0.0
RAIN,4,0,4,-589901.4077713012
RAINBOW,0,0,0,0.0
RAJESHEXPO,2,0,1,-199996.8030395507
RAJMET,0,0,0,0.0
RAJRATAN,0,0,0,0.0
RAJRILTD,1,0,1,-272715.0
RAJSREESUG,3,0,3,-484656.1393119811
RAJTV,6,0,5,-644019.7988227843
RALLIS,3,0,2,-359964.1574493408
RAMANEWS,3,0,3,-486710.7193492888
RAMASTEEL,3,0,3,-603021.2110490799
RAMCOCEM,2,1,0,999830.1342163086
RAMCOIND,9,3,6,1159045.2028213507
RAMCOSYS,4,1,3,28279.050654602266
RAMKY,3,0,2,-359982.5565940856
RAMRAT,0,0,0,0.0
RANASUG,3,1,2,304999.54102678306
RANEENGINE,3,1,2,134634.18631896976
RANEHOLDIN,3,2,1,2213582.480230713
RATEGAIN,0,0,0,0.0
RATNAMANI,2,2,0,3008462.1099243164
RAYMOND,5,3,2,4132101.250512696
RBA,2,0,1,-199977.44161987302
RBL,3,2,0,2999329.3599853516
RBLBANK,4,0,3,-485861.01193847647
RCF,3,1,2,166088.64012451167
RECLTD,4,1,2,287175.89329681423
REDINGTON,0,0,0,0.0
REFEX,4,2,2,1609995.2147169115
REGENCERAM,5,2,3,1145215.6962419036
RELAXO,2,1,1,612316.429901123
RELCHEMQ,0,0,0,0.0
RELIANCE,1,1,0,1004293.9688415527
RELIGARE,3,1,2,280750.60159950267
RELINFRA,3,0,3,-511760.5108188628
REMSONSIND,3,1,2,79359.76698188786
RENUKA,6,0,6,-736452.4358385085
REPCOHOME,4,1,3,42836.29805908218
REPL,1,0,1,-224340.43641662598
REPRO,5,2,3,1048005.4063720704
RESPONIND,3,1,2,279967.6595672609
RGL,1,1,0,999983.4092712402
RHFL,1,0,1,-199999.68794727325
RHIM,3,2,1,2240889.722076416
RICOAUTO,2,2,0,3005061.9190330505
RIIL,5,1,4,-180224.502264404
RITCO,0,0,0,0.0
RITES,1,1,0,999871.7122802734
RKDL,4,0,4,-568950.511461067
RKEC,2,0,2,-455429.7847030639
RKFORGE,7,2,4,695944.2718292237
RML,2,1,1,527609.5015258789
ROHLTD,3,1,2,279998.68769454956
ROLEXRINGS,0,0,0,0.0
ROLLT,2,0,1,-199998.75451126092
ROML,4,0,4,-677432.0
ROSSARI,1,0,1,-192200.4099121093
ROSSELLIND,2,1,1,626123.85
ROTO,0,0,0,0.0
ROUTE,0,0,0,0.0
RPGLIFE,5,1,4,-177435.8277267454
RPOWER,6,1,5,-427658.6494311332
RPPINFRA,3,0,2,-359990.15647735586
RPPL,3,1,2,299691.4637413026
RPSGVENT,3,1,2,304041.3430664064
RSSOFTWARE,3,0,3,-702929.5794296263
RSWM,3,1,2,281961.17075958266
RSYSTEMS,2,0,2,-345405.02295684814
RTNINDIA,3,3,0,6999989.996340036
RTNPOWER,8,2,6,73912.83210949902
RUBYMILLS,2,1,1,612358.4551147462
RUCHINFRA,3,0,3,-487998.2925862312
RUCHIRA,4,1,3,-19876.127663040068
RUPA,1,1,0,999744.7073364258
RUSHIL,4,0,4,-589162.7803802489
RVHL,1,0,0,0.0
RVNL,0,0,0,0.0
S&SPOWER,0,0,0,0.0
SABEVENTS,3,1,2,301053.31396322255
SADBHAV,4,1,3,-65395.72689056385
SADBHIN,0,0,0,0.0
SAFARI,0,0,0,0.0
SAGARDEEP,5,1,3,105841.58844070451
SAGCEM,3,1,1,605749.9169189453
SAIL,6,1,4,-174751.4031593321
SAKAR,0,0,0,0.0
SAKHTISUG,2,1,1,670112.6039581299
SAKSOFT,4,2,2,1573730.1781559945
SAKUMA,1,0,1,-259493.12414360046
SALASAR,1,1,0,999999.8783111572
SALONA,3,2,1,2271792.843237686
SALSTEEL,1,0,1,-199999.79470181456
SALZERELEC,4,1,3,24018.67037658696
SAMBHAAV,7,3,4,2607116.1161335
SAMPANN,2,0,2,-426771.1639556885
SANCO,3,0,3,-487998.32021350856
SANDESH,2,1,1,599805.5735473633
SANDHAR,2,0,1,-186237.9635864257
SANGAMIND,3,1,2,301103.3596794129
SANGHIIND,5,1,3,36952.700000000186
SANGHVIMOV,6,1,5,-344602.35871124244
SANGINITA,1,0,1,-273816.36224365234
SANOFI,0,0,0,0.0
SANSERA,1,0,0,0.0
