Ticker,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
ITDC,0,0,0,0,0.0,,
ITDCEM,0,0,0,0,0.0,,
ITI,0,0,0,0,0.0,,
IVC,0,0,0,0,0.0,,
IVP,0,0,0,0,0.0,,
IWEL,0,0,0,0,0.0,,
IZMO,0,0,0,0,0.0,,
J&KBANK,1,0,1,-5741,-5.74,91.04499816894531,73.80000305175781
JAGRAN,1,1,0,9792,9.79,124.69999694824219,164.35000610351562
JAGSNPHARM,2,1,1,90222,90.22,"27.100000381469727, 62.54999923706055","14.800000190734863, 276.6000061035156"
JAIBALAJI,0,0,0,0,0.0,,
JAICORPLTD,0,0,0,0,0.0,,
JAMNAAUTO,1,1,0,39704,39.7,24.204999923706055,56.0
JASH,0,0,0,0,0.0,,
JAYAGROGN,0,0,0,0,0.0,,
JAYBARMARU,2,1,1,59230,59.23,"21.799999237060547, 74.5199966430664","70.9800033569336, 56.86000061035156"
JAYNECOIND,0,0,0,0,0.0,,
JAYSREETEA,0,0,0,0,0.0,,
JBCHEPHARM,1,0,1,-10172,-10.17,49.150001525878906,34.775001525878906
JBMA,0,0,0,0,0.0,,
JCHAC,2,1,1,179518,179.52,"236.85000610351562, 2661.199951171875","1712.6500244140625, 2073.0"
JETAIRWAYS,0,0,0,0,0.0,,
JINDALPHOT,0,0,0,0,0.0,,
JINDALPOLY,0,0,0,0,0.0,,
JINDALSAW,0,0,0,0,0.0,,
JINDALSTEL,1,0,1,-10125,-10.13,205.0500030517578,135.10000610351562
JINDRILL,0,0,0,0,0.0,,
JINDWORLD,0,0,0,0,0.0,,
JISLDVREQS,0,0,0,0,0.0,,
JISLJALEQS,0,0,0,0,0.0,,
JITFINFRA,0,0,0,0,0.0,,
JKCEMENT,1,0,1,-15089,-15.09,360.3500061035156,177.75
JKIL,0,0,0,0,0.0,,
JKLAKSHMI,1,0,1,-16859,-16.86,138.3000030517578,60.70000076293945
JKPAPER,0,0,0,0,0.0,,
JKTYRE,0,0,0,0,0.0,,
JMA,0,0,0,0,0.0,,
JMFINANCIL,0,0,0,0,0.0,,
JPASSOCIAT,0,0,0,0,0.0,,
JPOLYINVST,0,0,0,0,0.0,,
JPPOWER,0,0,0,0,0.0,,
JSL,1,0,1,-11848,-11.85,88.4000015258789,53.75
JSWENERGY,0,0,0,0,0.0,,
JSWHL,0,0,0,0,0.0,,
JSWSTEEL,1,0,1,-12879,-12.88,133.34500122070312,77.29000091552734
JTEKTINDIA,1,1,0,62645,62.65,30.850000381469727,95.0
JUBLFOOD,1,0,1,-6473,-6.47,165.80999755859375,127.21499633789062
JUBLINDS,0,0,0,0,0.0,,
JUBLINGREA,0,0,0,0,0.0,,
JUBLPHARMA,2,1,1,33828,33.83,"198.07827758789062, 873.5499877929688","498.8916015625, 519.1500244140625"
JUSTDIAL,0,0,0,0,0.0,,
JWL,0,0,0,0,0.0,,
JYOTHYLAB,1,1,0,35315,35.31,83.0,179.35000610351562
JYOTISTRUC,0,0,0,0,0.0,,
KABRAEXTRU,2,2,0,15133,15.13,"39.787498474121094, 71.9000015258789","39.599998474121094, 108.4000015258789"
